,Subblock,Scene,Tile,T,Z,C,X[micron],Y[micron],Z[micron],Time[s],xstart,ystart,width,height
0,0,0,0,0,0,0,16977.153,18621.489,1114.49,0.0,0,0,240,170
1,1,0,0,0,0,1,16977.153,18621.489,1114.49,0.3280191421508789,0,0,240,170
2,2,0,0,0,1,0,16977.153,18621.489,1114.81,0.8940510749816895,0,0,240,170
3,3,0,0,0,1,1,16977.153,18621.489,1114.81,1.2200701236724854,0,0,240,170
4,4,0,0,0,2,0,16977.153,18621.489,1115.13,1.7921020984649658,0,0,240,170
5,5,0,0,0,2,1,16977.153,18621.489,1115.13,2.1171212196350098,0,0,240,170
6,6,0,0,0,3,0,16977.153,18621.489,1115.45,2.6811530590057373,0,0,240,170
7,7,0,0,0,3,1,16977.153,18621.489,1115.45,3.007172107696533,0,0,240,170
8,8,0,0,0,4,0,16977.153,18621.489,1115.77,3.586205005645752,0,0,240,170
9,9,0,0,0,4,1,16977.153,18621.489,1115.77,3.941225051879883,0,0,240,170
10,10,0,0,1,0,0,16977.153,18621.489,1114.49,60.02543306350708,0,0,240,170
11,11,0,0,1,0,1,16977.153,18621.489,1114.49,60.34845209121704,0,0,240,170
12,12,0,0,1,1,0,16977.153,18621.489,1114.81,60.916484117507935,0,0,240,170
13,13,0,0,1,1,1,16977.153,18621.489,1114.81,61.24050307273865,0,0,240,170
14,14,0,0,1,2,0,16977.153,18621.489,1115.13,61.80953502655029,0,0,240,170
15,15,0,0,1,2,1,16977.153,18621.489,1115.13,62.133554220199585,0,0,240,170
16,16,0,0,1,3,0,16977.153,18621.489,1115.45,62.69758605957031,0,0,240,170
17,17,0,0,1,3,1,16977.153,18621.489,1115.45,63.02360510826111,0,0,240,170
18,18,0,0,1,4,0,16977.153,18621.489,1115.77,63.586637020111084,0,0,240,170
19,19,0,0,1,4,1,16977.153,18621.489,1115.77,63.90965509414673,0,0,240,170
20,20,0,0,2,0,0,16977.153,18621.489,1114.49,120.09086918830872,0,0,240,170
21,21,0,0,2,0,1,16977.153,18621.489,1114.49,120.41588711738586,0,0,240,170
22,22,0,0,2,1,0,16977.153,18621.489,1114.81,120.98292016983032,0,0,240,170
23,23,0,0,2,1,1,16977.153,18621.489,1114.81,121.30693817138672,0,0,240,170
24,24,0,0,2,2,0,16977.153,18621.489,1115.13,121.87097001075745,0,0,240,170
25,25,0,0,2,2,1,16977.153,18621.489,1115.13,122.19498920440674,0,0,240,170
26,26,0,0,2,3,0,16977.153,18621.489,1115.45,122.78002214431763,0,0,240,170
27,27,0,0,2,3,1,16977.153,18621.489,1115.45,123.11104106903076,0,0,240,170
28,28,0,0,2,4,0,16977.153,18621.489,1115.77,123.7140760421753,0,0,240,170
29,29,0,0,2,4,1,16977.153,18621.489,1115.77,124.03909420967102,0,0,240,170
